DMSO - 1,DMSO - 2,C7 - 1,C7 - 2,4µ8c - 1,4µ8c - 2,Both - 1,Both - 2,I,J,K,L
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,
0.00666667,0.00666667,0.00666667,0.00666667,0.00666667,0.00666667,0.00666667,0.00666667,,,,
0.00222222,0.00222222,0.00222222,0.00222222,0.00222222,0.00222222,0.00222222,0.00222222,,,,
0.00074074,0.00074074,0.00074074,0.00074074,0.00074074,0.00074074,0.00074074,0.00074074,,,,
0.00024691,0.00024691,0.00024691,0.00024691,0.00024691,0.00024691,0.00024691,0.00024691,,,,
0.00008230,0.00008230,0.00008230,0.00008230,0.00008230,0.00008230,0.00008230,0.00008230,,,,
0.00002743,0.00002743,0.00002743,0.00002743,0.00002743,0.00002743,0.00002743,0.00002743,,,,
0.00000914,0.00000914,0.00000914,0.00000914,0.00000914,0.00000914,0.00000914,0.00000914,,,,
